Date,Price,Open,High,Low,Vol.,Change
10-Jul-17,145.06,144.11,145.95,143.37,21.09M,0.61%
7-Jul-17,144.18,142.9,144.75,142.9,19.20M,1.02%
6-Jul-17,142.73,143.02,143.5,142.41,24.13M,-0.94%
5-Jul-17,144.09,143.69,144.79,142.72,21.57M,0.41%
3-Jul-17,143.5,144.88,145.3,143.1,14.28M,-0.36%
30-Jun-17,144.02,144.45,144.96,143.78,23.02M,0.24%
29-Jun-17,143.68,144.71,145.13,142.28,31.50M,-1.47%
28-Jun-17,145.83,144.49,146.11,143.16,22.08M,1.46%
27-Jun-17,143.73,145.01,146.16,143.62,24.76M,-1.43%
26-Jun-17,145.82,147.17,148.28,145.38,25.69M,-0.31%
23-Jun-17,146.28,145.13,147.16,145.11,35.44M,0.45%
22-Jun-17,145.63,145.77,146.7,145.12,19.11M,-0.16%
21-Jun-17,145.87,145.52,146.07,144.61,21.27M,0.59%
20-Jun-17,145.01,146.87,146.87,144.94,24.90M,-0.91%
19-Jun-17,146.34,143.66,146.74,143.66,32.54M,2.86%
16-Jun-17,142.27,143.78,144.5,142.2,50.36M,-1.40%
15-Jun-17,144.29,143.32,144.48,142.21,32.17M,-0.60%
14-Jun-17,145.16,147.5,147.5,143.84,31.53M,-0.98%
13-Jun-17,146.59,147.16,147.45,145.15,34.17M,0.80%
12-Jun-17,145.42,145.74,146.09,142.51,72.31M,-2.39%
9-Jun-17,148.98,155.19,155.19,146.02,64.88M,-3.88%
8-Jun-17,154.99,155.25,155.54,154.4,21.25M,-0.24%
7-Jun-17,155.37,155.02,155.98,154.48,21.07M,0.60%
6-Jun-17,154.45,153.9,155.81,153.78,26.62M,0.34%
5-Jun-17,153.93,154.34,154.45,153.46,25.33M,-0.98%
2-Jun-17,155.45,153.58,155.45,152.89,27.77M,1.48%
1-Jun-17,153.18,153.17,153.33,152.22,16.40M,0.27%
31-May-17,152.76,153.97,154.17,152.38,24.45M,-0.59%
30-May-17,153.67,153.42,154.43,153.33,20.13M,0.04%
